Employee ID,Age,Gender,Department,Job Role,Monthly Income,Years at Company,Job Satisfaction,Performance Rating,Work-Life Balance,Attrition
EMP0001,50,Male,Research & Development,Manufacturing Director,19094,6,3,4,3,No
EMP0002,36,Male,Sales,Sales Representative,4277,1,1,4,3,No
EMP0003,29,Male,Sales,Manager,12377,0,4,3,3,No
EMP0004,42,Non-Binary,Research & Development,Manufacturing Director,11447,3,3,3,4,No
EMP0005,40,Female,Research & Development,Manager,17370,0,3,2,1,No
EMP0006,44,Female,Sales,Sales Representative,9076,16,3,3,4,Yes
EMP0007,32,Female,Research & Development,Manager,16541,1,3,3,1,No
EMP0008,32,Male,IT,Manager,13039,9,1,3,1,No
EMP0009,45,Male,IT,Software Engineer,12000,2,2,3,3,No
EMP0010,57,Female,Finance,Accountant,4532,1,1,3,1,Yes
EMP0011,45,Male,Research & Development,Research Scientist,12106,13,1,3,4,No
EMP0012,24,Female,Research & Development,Research Scientist,8779,2,4,4,3,No
EMP0013,43,Female,Human Resources,Manager,15191,2,1,2,1,No
EMP0014,23,Male,Research & Development,Laboratory Technician,7122,0,2,1,1,Yes
EMP0015,45,Non-Binary,Sales,Manager,13365,5,3,3,3,No
EMP0016,51,Female,Sales,Manager,15255,1,3,4,4,No
EMP0017,59,Female,Research & Development,Research Scientist,12422,4,1,4,3,No
EMP0018,23,Male,Sales,Manager,11172,4,4,3,3,No
EMP0019,42,Male,Research & Development,Laboratory Technician,6149,6,4,4,4,No
EMP0020,54,Male,Sales,Manager,11444,6,2,3,3,No
EMP0021,33,Male,Sales,Manager,18395,3,2,4,2,No
EMP0022,43,Male,Research & Development,Research Scientist,12172,2,4,2,3,No
EMP0023,46,Female,Research & Development,Laboratory Technician,8227,9,4,2,3,No
EMP0024,48,Male,Research & Development,Manufacturing Director,10324,1,3,2,4,No
EMP0025,49,Female,Sales,Sales Executive,8232,3,1,3,3,No
EMP0026,37,Female,Sales,Manager,12319,2,3,3,4,No
EMP0027,36,Female,Research & Development,Laboratory Technician,6435,9,3,3,2,No
EMP0028,24,Male,Research & Development,Manufacturing Director,20017,2,1,4,4,No
EMP0029,58,Female,Research & Development,Manager,20132,2,3,3,3,No
EMP0030,28,Male,Research & Development,Manufacturing Director,11530,5,3,2,3,No
EMP0031,42,Male,Finance,Financial Analyst,11149,4,2,3,1,No
EMP0032,30,Female,Research & Development,Manufacturing Director,14756,0,4,3,3,No
EMP0033,39,Male,Research & Development,Research Scientist,8401,3,4,4,4,No
EMP0034,25,Male,Research & Development,Laboratory Technician,5236,6,2,3,4,Yes
EMP0035,46,Female,Research & Development,Manufacturing Director,20102,24,4,3,1,No
EMP0036,35,Male,Research & Development,Laboratory Technician,7528,4,1,3,3,No
EMP0037,30,Male,Research & Development,Laboratory Technician,7411,2,4,3,1,No
EMP0038,47,Male,IT,IT Support,6663,1,1,4,4,Yes
EMP0039,23,Female,Sales,Sales Executive,5142,5,1,1,4,No
EMP0040,41,Female,Sales,Sales Representative,6355,8,3,4,1,No
EMP0041,49,Male,Research & Development,Laboratory Technician,8040,1,3,3,4,No
EMP0042,28,Male,IT,IT Support,4829,1,4,3,4,No
EMP0043,29,Male,Sales,Manager,16262,6,2,4,3,No
EMP0044,56,Male,Finance,Manager,10962,1,2,3,4,No
EMP0045,35,Female,Research & Development,Manufacturing Director,17105,1,3,3,3,No
EMP0046,38,Male,Finance,Manager,14889,0,3,2,3,No
EMP0047,57,Male,Finance,Manager,15039,1,2,3,3,No
EMP0048,25,Female,Research & Development,Research Scientist,11565,2,3,4,3,No
EMP0049,23,Female,Sales,Sales Representative,7957,5,4,3,3,No
EMP0050,27,Female,Sales,Sales Executive,3957,2,4,4,2,Yes
EMP0051,25,Male,Sales,Sales Executive,7821,1,4,3,4,No
EMP0052,50,Male,Human Resources,Manager,11039,1,2,2,3,Yes
EMP0053,39,Male,Sales,Sales Representative,3602,3,4,1,3,No
EMP0054,47,Male,Research & Development,Research Scientist,7051,0,2,3,4,No
EMP0055,55,Female,Research & Development,Manufacturing Director,20196,3,3,4,3,No
EMP0056,31,Female,Finance,Manager,19548,6,3,3,3,No
EMP0057,57,Female,Sales,Sales Representative,4937,0,4,3,4,No
EMP0058,35,Female,Sales,Sales Executive,3510,0,4,4,4,No
EMP0059,52,Male,Sales,Sales Executive,6404,0,4,3,2,Yes
EMP0060,36,Female,Finance,Financial Analyst,11382,3,4,1,3,Yes
EMP0061,29,Male,Research & Development,Manager,12937,9,4,4,4,No
EMP0062,35,Male,Sales,Manager,15606,0,4,3,3,No
EMP0063,44,Male,Sales,Sales Representative,9514,13,3,2,3,No
EMP0064,42,Male,Sales,Sales Representative,6321,0,2,3,2,No
EMP0065,37,Male,Sales,Sales Executive,9466,9,2,3,2,No
EMP0066,39,Non-Binary,Finance,Manager,19506,3,1,3,4,No
EMP0067,45,Male,IT,Software Engineer,12434,5,3,3,4,No
EMP0068,47,Male,Research & Development,Manager,17046,3,3,2,4,Yes
EMP0069,46,Male,IT,Data Analyst,9254,3,3,3,4,No
EMP0070,50,Female,Sales,Manager,12790,9,4,4,2,No
EMP0071,36,Female,Human Resources,HR Partner,8829,7,4,3,1,No
EMP0072,22,Female,IT,Software Engineer,8760,3,1,3,4,Yes
EMP0073,46,Male,Research & Development,Manager,15740,0,2,3,3,Yes
EMP0074,28,Female,IT,IT Support,7457,0,3,3,3,No
EMP0075,30,Male,Sales,Sales Representative,6744,8,2,2,4,Yes
EMP0076,45,Female,Sales,Manager,12663,3,4,3,3,No
EMP0077,22,Female,Sales,Sales Executive,6203,3,3,3,2,Yes
EMP0078,29,Male,Research & Development,Manager,12977,5,3,3,4,No
EMP0079,45,Male,Human Resources,HR Partner,5175,9,4,3,4,No
EMP0080,32,Male,Finance,Financial Analyst,7541,4,4,3,1,No
EMP0081,38,Male,Research & Development,Manager,14067,7,1,3,4,No
EMP0082,29,Male,IT,Manager,20832,7,4,3,3,No
EMP0083,56,Female,IT,Manager,15319,2,3,3,3,No
EMP0084,56,Male,Sales,Sales Executive,5567,1,2,3,4,Yes
EMP0085,54,Male,Research & Development,Laboratory Technician,6843,8,1,3,4,No
EMP0086,26,Male,Sales,Sales Representative,6949,2,3,3,2,No
EMP0087,49,Male,Research & Development,Manager,20809,11,2,2,2,No
EMP0088,28,Female,Finance,Financial Analyst,6606,0,2,4,1,Yes
EMP0089,30,Male,Sales,Sales Representative,3567,0,3,4,3,No
EMP0090,29,Female,Human Resources,Recruiter,5743,11,4,3,1,Yes
EMP0091,33,Female,Research & Development,Laboratory Technician,4883,5,2,2,3,Yes
EMP0092,55,Female,Research & Development,Research Scientist,11198,2,1,3,1,Yes
EMP0093,54,Female,Research & Development,Manager,19440,7,4,3,3,No
EMP0094,44,Male,Research & Development,Manager,20415,5,1,3,1,No
EMP0095,45,Non-Binary,Sales,Manager,16318,3,4,2,4,No
EMP0096,58,Male,Sales,Manager,12068,0,3,3,2,No
EMP0097,56,Male,Sales,Manager,19078,8,2,3,3,No
EMP0098,43,Female,Research & Development,Research Scientist,11709,10,2,4,4,Yes
EMP0099,48,Female,Sales,Sales Representative,4786,0,1,3,4,Yes
EMP0100,56,Female,IT,Data Analyst,13515,9,2,3,2,No
EMP0101,22,Male,Research & Development,Research Scientist,8257,4,1,2,1,Yes
EMP0102,56,Male,Research & Development,Research Scientist,12279,3,3,2,4,No
EMP0103,58,Female,Research & Development,Manager,19269,5,1,4,3,No
EMP0104,35,Male,Research & Development,Manager,11708,2,3,3,4,No
EMP0105,24,Female,Finance,Manager,19039,1,3,3,3,No
EMP0106,22,Female,Sales,Manager,19544,4,2,3,3,No
EMP0107,26,Male,Sales,Sales Executive,4881,8,1,4,3,No
EMP0108,47,Male,IT,IT Support,5281,5,1,4,4,No
EMP0109,35,Male,Sales,Sales Representative,5446,3,1,1,4,No
EMP0110,48,Male,Sales,Sales Executive,5487,0,4,2,1,No
EMP0111,30,Female,Research & Development,Research Scientist,11253,0,2,3,3,No
EMP0112,36,Male,Sales,Sales Representative,6193,2,4,3,1,Yes
EMP0113,36,Female,Research & Development,Manager,14861,0,3,4,3,No
EMP0114,47,Male,Sales,Sales Representative,6576,4,3,3,4,No
EMP0115,34,Non-Binary,IT,Data Analyst,7996,2,3,4,3,No
EMP0116,53,Male,IT,IT Support,4879,7,4,3,4,No
EMP0117,53,Male,Research & Development,Research Scientist,9512,1,2,4,3,Yes
EMP0118,25,Male,Research & Development,Manufacturing Director,16956,4,1,3,4,No
EMP0119,51,Female,IT,Data Analyst,9818,3,3,4,4,No
EMP0120,58,Female,Sales,Manager,17919,0,2,2,2,No
EMP0121,44,Female,IT,Data Analyst,8142,0,3,3,2,No
EMP0122,36,Male,IT,IT Support,7098,1,3,3,3,No
EMP0123,50,Male,Human Resources,Manager,14072,10,3,3,2,No
EMP0124,57,Male,Research & Development,Manager,19487,0,3,3,3,No
EMP0125,34,Male,Sales,Sales Representative,5138,6,3,4,3,No
EMP0126,53,Male,Research & Development,Manufacturing Director,21776,18,4,3,4,No
EMP0127,28,Non-Binary,IT,Software Engineer,8161,7,4,3,3,No
EMP0128,43,Non-Binary,Sales,Manager,17454,1,3,2,4,No
EMP0129,49,Female,IT,IT Support,9949,11,3,4,4,No
EMP0130,23,Female,Sales,Sales Executive,4669,0,4,3,4,No
EMP0131,27,Male,Sales,Sales Representative,7462,3,3,3,2,No
EMP0132,49,Male,Sales,Sales Executive,7685,10,3,1,3,No
EMP0133,49,Male,Sales,Manager,17634,5,4,3,3,No
EMP0134,41,Female,Research & Development,Laboratory Technician,5331,2,3,1,3,No
EMP0135,51,Male,Sales,Manager,17508,1,1,1,3,No
EMP0136,32,Male,Finance,Manager,14339,2,4,3,4,No
EMP0137,49,Male,Research & Development,Research Scientist,7726,3,1,2,3,No
EMP0138,46,Male,Sales,Sales Executive,6497,1,4,2,3,No
EMP0139,54,Female,Research & Development,Laboratory Technician,11070,17,4,3,4,No
EMP0140,22,Female,IT,Data Analyst,12225,4,4,2,1,No
EMP0141,48,Male,Human Resources,Recruiter,6203,10,1,3,3,Yes
EMP0142,34,Non-Binary,Sales,Manager,14535,2,3,2,4,No
EMP0143,24,Female,IT,Software Engineer,10772,5,3,3,2,No
EMP0144,27,Male,IT,Software Engineer,8319,9,2,3,3,No
EMP0145,29,Male,Sales,Sales Executive,7083,9,1,3,2,Yes
EMP0146,48,Male,Sales,Sales Representative,7958,2,3,3,4,No
EMP0147,30,Male,Research & Development,Research Scientist,11347,0,3,2,3,No
EMP0148,58,Non-Binary,Sales,Sales Executive,3482,0,1,2,3,Yes
EMP0149,54,Male,IT,Software Engineer,9277,4,3,3,3,No
EMP0150,45,Female,Research & Development,Manager,14093,5,4,4,2,No
EMP0151,36,Male,Finance,Accountant,5142,9,4,3,2,No
EMP0152,53,Male,Research & Development,Research Scientist,11492,1,4,3,3,No
EMP0153,53,Male,Sales,Sales Representative,4462,0,3,2,3,No
EMP0154,45,Male,Sales,Sales Executive,4602,2,4,3,3,No
EMP0155,33,Male,Research & Development,Research Scientist,8021,2,4,3,3,Yes
EMP0156,23,Female,IT,Software Engineer,8398,0,2,3,3,No
EMP0157,24,Male,IT,Data Analyst,10596,5,1,4,3,Yes
EMP0158,58,Female,Sales,Sales Representative,7135,3,3,3,3,No
EMP0159,38,Male,Sales,Sales Executive,7077,6,3,2,2,No
EMP0160,23,Male,Sales,Manager,17404,2,3,3,4,No
EMP0161,23,Male,Research & Development,Laboratory Technician,5590,1,3,3,4,No
EMP0162,49,Female,Sales,Sales Representative,6951,3,4,3,2,No
EMP0163,44,Male,Research & Development,Research Scientist,10913,10,3,3,3,No
EMP0164,58,Male,Research & Development,Manufacturing Director,19381,0,1,3,3,No
EMP0165,53,Female,Finance,Financial Analyst,9940,8,4,3,3,No
EMP0166,54,Male,Research & Development,Manager,20195,2,2,4,3,No
EMP0167,22,Male,Sales,Sales Representative,7097,4,4,3,1,No
EMP0168,40,Male,Research & Development,Laboratory Technician,5197,8,1,3,4,Yes
EMP0169,23,Female,Research & Development,Research Scientist,7044,2,4,3,1,No
EMP0170,47,Female,Research & Development,Research Scientist,11543,5,1,3,3,No
EMP0171,53,Male,Finance,Manager,17145,0,2,4,4,No
EMP0172,27,Male,IT,Manager,14702,9,1,3,3,No
EMP0173,53,Non-Binary,Sales,Manager,17045,2,4,3,2,No
EMP0174,25,Female,Sales,Sales Representative,4363,3,4,3,4,No
EMP0175,32,Male,Research & Development,Manufacturing Director,18894,6,3,2,4,No
EMP0176,38,Female,IT,IT Support,9430,8,4,3,4,No
