Employee ID,Age,Gender,Department,Job Role,Monthly Income,Years at Company,Job Satisfaction,Performance Rating,Work-Life Balance,Attrition,Tenure Group,Income Band,Attrition_Encoded,Gender_Encoded,Department_Encoded,JobRole_Encoded
EMP0001,50,Male,Research & Development,Manufacturing Director,19094,6,3,4,3,No,6-10 Yrs,Very High (15k+),0,1,3,7
EMP0002,36,Male,Sales,Sales Representative,4277,1,1,4,3,No,0-2 Yrs,Low (<5k),0,1,4,11
EMP0003,29,Male,Sales,Manager,12377,0,4,3,3,No,0-2 Yrs,High (10k-15k),0,1,4,6
EMP0004,42,Non-Binary,Research & Development,Manufacturing Director,11447,3,3,3,4,No,3-5 Yrs,High (10k-15k),0,2,3,7
EMP0005,40,Female,Research & Development,Manager,17370,0,3,2,1,No,0-2 Yrs,Very High (15k+),0,0,3,6
EMP0006,44,Female,Sales,Sales Representative,9076,16,3,3,4,Yes,10+ Yrs,Medium (5k-10k),1,0,4,11
EMP0007,32,Female,Research & Development,Manager,16541,1,3,3,1,No,0-2 Yrs,Very High (15k+),0,0,3,6
EMP0008,32,Male,IT,Manager,13039,9,1,3,1,No,6-10 Yrs,High (10k-15k),0,1,2,6
EMP0009,45,Male,IT,Software Engineer,12000,2,2,3,3,No,0-2 Yrs,High (10k-15k),0,1,2,12
EMP0010,57,Female,Finance,Accountant,4532,1,1,3,1,Yes,0-2 Yrs,Low (<5k),1,0,0,0
EMP0011,45,Male,Research & Development,Research Scientist,12106,13,1,3,4,No,10+ Yrs,High (10k-15k),0,1,3,9
EMP0012,24,Female,Research & Development,Research Scientist,8779,2,4,4,3,No,0-2 Yrs,Medium (5k-10k),0,0,3,9
EMP0013,43,Female,Human Resources,Manager,15191,2,1,2,1,No,0-2 Yrs,Very High (15k+),0,0,1,6
EMP0014,23,Male,Research & Development,Laboratory Technician,7122,0,2,1,1,Yes,0-2 Yrs,Medium (5k-10k),1,1,3,5
EMP0015,45,Non-Binary,Sales,Manager,13365,5,3,3,3,No,3-5 Yrs,High (10k-15k),0,2,4,6
EMP0016,51,Female,Sales,Manager,15255,1,3,4,4,No,0-2 Yrs,Very High (15k+),0,0,4,6
EMP0017,59,Female,Research & Development,Research Scientist,12422,4,1,4,3,No,3-5 Yrs,High (10k-15k),0,0,3,9
EMP0018,23,Male,Sales,Manager,11172,4,4,3,3,No,3-5 Yrs,High (10k-15k),0,1,4,6
EMP0019,42,Male,Research & Development,Laboratory Technician,6149,6,4,4,4,No,6-10 Yrs,Medium (5k-10k),0,1,3,5
EMP0020,54,Male,Sales,Manager,11444,6,2,3,3,No,6-10 Yrs,High (10k-15k),0,1,4,6
EMP0021,33,Male,Sales,Manager,18395,3,2,4,2,No,3-5 Yrs,Very High (15k+),0,1,4,6
EMP0022,43,Male,Research & Development,Research Scientist,12172,2,4,2,3,No,0-2 Yrs,High (10k-15k),0,1,3,9
EMP0023,46,Female,Research & Development,Laboratory Technician,8227,9,4,2,3,No,6-10 Yrs,Medium (5k-10k),0,0,3,5
